,image_name,settings1,settings2,settings3,objects,objects count,people count,activities_content,age,gender,race,quality
0,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_001.jpg,others,others,closeup,others,0,single,others,"adult,others","male,male","white,others",bright
1,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_005.jpg,nightclub,others,others,others,0,others,others,others,others,others,bright
2,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_006.jpg,nightclub,red light,closeup,others,0,single,substance use,others,male,white,bright
3,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_008.jpg,nightclub,red light,closeup,others,0,single,others,adult,female,black,bright
4,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_010.jpg,others,others,closeup,others,0,single,standing,adult,female,white,bright
5,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_012.jpg,nightclub,red light,closeup,a photo of bottle,1,single,standing,adult,female,white,dark
6,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_014.jpg,others,red light,side,others,0,single,expressions,adult,female,white,dark
7,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_015.jpg,shop,low light,others,others,0,others,group activity,others,others,others,bright
8,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_016.jpg,others,red light,closeup,others,0,couple,others,others,female,white,bright
9,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_018.jpg,nightclub,blue light,side,others,0,couple,others,"teen,teen,adult,others,adult","female,female,male,male,female","white,white,white,white,asian",bright
10,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_020.jpg,nightclub,red light,closeup,others,0,couple,others,"others,adult,adult,adult,teen","female,male,male,female,female","white,white,white,white,asian",dark
11,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_022.jpg,others,blue light,closeup,others,0,single,expressions,adult,female,white,bright
12,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_029.jpg,others,others,side,a photo of bottle,1,single,talking,adult,male,white,bright
13,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_031.jpg,others,others,side,others,0,single,standing,adult,male,white,bright
14,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_032.jpg,others,others,side,a photo of car,1,single,others,adult,male,white,bright
15,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_034.jpg,nightclub,red light,closeup,others,0,couple,NSFW,others,female,asian,bright
16,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_035.jpg,others,red light,side,a photo of airplane,1,single,singing,adult,female,white,dark
17,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_036.jpg,others,others,others,others,0,single,others,"adult,adult","male,male","white,white",bright
18,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_037.jpg,others,red light,others,others,0,single,singing,teen,female,white,bright
19,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_038.jpg,others,others,others,others,0,couple,others,others,male,others,dark
20,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_042.jpg,nightclub,red light,closeup,others,0,single,others,adult,female,white,bright
21,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_043.jpg,jungle,others,others,others,0,others,still,others,others,others,bright
22,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_046.jpg,others,others,others,others,0,others,others,others,others,others,bright
23,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_048.jpg,others,red light,others,others,0,others,others,others,others,others,bright
24,/content/gdrive/MyDrive/DatasetAnalysis/data/A_Star_Is_Born_(2018)_051.jpg,others,others,others,others,0,couple,standing,adult,female,white,bright
